:START_ID,:END_ID,:TYPE
func_0,func_1,CALLS
func_1,func_2,CALLS
func_2,func_3,CALLS
func_3,func_4,CALLS
func_4,func_5,CALLS
func_5,func_6,CALLS
func_6,func_7,CALLS
func_7,func_8,CALLS
func_8,func_9,CALLS
func_9,func_10,CALLS
func_10,func_11,CALLS
func_11,func_12,CALLS
func_12,func_13,CALLS
func_13,func_14,CALLS
func_14,func_15,CALLS
func_15,func_16,CALLS
func_16,func_17,CALLS
func_17,func_18,CALLS
func_18,func_19,CALLS
func_19,func_20,CALLS
func_0,var_0,READS
func_0,var_0,WRITES
func_1,var_1,READS
func_2,var_2,READS
func_2,var_2,WRITES
func_3,var_3,READS
func_4,var_4,READS
func_4,var_4,WRITES
func_5,var_5,READS
func_6,var_6,READS
func_6,var_6,WRITES
func_7,var_7,READS
func_8,var_8,READS
func_8,var_8,WRITES
func_9,var_9,READS
